Title,Abstract,Category,PDF File,Year
OPTIMAL NEURAL SPIKE CLASSIFICATION,"Being able to record the electrical activities of a number of neurons simultaneously is likely to be important in the study of the functional organization of networks of real neurons. Using one extracellular microelectrode to record from several neurons is one approach to studying the response properties of sets of adjacent and therefore likely related neurons. However, to do this, it is necessary to correctly classify the signals generated by these different neurons. This paper considers this problem of classifying the signals in such an extracellular recording, based upon their shapes, and specifically considers the classification of signals in the case when spikes overlap temporally. Introduction How single neurons in a network of neurons interact when processing information is likely to be a fundamental question central to understanding how real neural networks compute. In the mammalian nervous system we know that spatially adjacent neurons are, in general, more likely to interact,",Optimization & Theoretical ML,1ff1de774005f8da13f42943881c655f-Paper.pdf,1987
REFLEXIVE ASSOCIATIVE MEMORIES,"In the synchronous discrete model, the average memory capacity of bidirectional associative memories (BAMs) is compared with that of Hopfield memories, by means of a calculat10n of the percentage of good recall for 100 random BAMs of dimension 64x64, for different numbers of stored vectors. The memory capac1ty Is found to be much smal1er than the Kosko upper bound, which Is the lesser of the two dimensions of the BAM. On the average, a 64x64 BAM has about 68 % of the capacity of the corresponding Hopfield memory with the same number of neurons. Ortho normal coding of the BAM Increases the effective storage capaCity by only 25 %. The memory capacity limitations are due to spurious stable states, which arise In BAMs In much the same way as in Hopfleld memories. Occurrence of spurious stable states can be avoided by replacing the thresholding in the backlayer of the BAM by another nonl1near process, here called ""Dominant Label Selection"" (DLS). The simplest DLS is the wlnner-take-all net,",Optimization & Theoretical ML,2838023a778dfaecdc212708f721b788-Paper.pdf,1987
The Performance of Convex Set projection Based Neural Networks,"We donsider a class of neural networks whose performance can be analyzed and geometrically visualized in a signal space environment. Alternating projection neural networks (APNN' s) perform by alternately projecting between two or more constraint sets. Criteria for desired and unique convergence are easily established. The network can be configured in either a homogeneous or layered form. The number of patterns that can be stored in the network is on the order of the number of input and hidden neurons. If the output neurons can take on only one of two states, then the trained layered APNN can be easily configured to converge in one iteration. More generally, convergence is at an exponential rate. Convergence can be improved by the use of sigmoid type nonlinearities, network relaxation and/or increasing the number of neurons in the hidden layer. The manner in which the network responds to data for which it was not specifically trained (i.e. how it generalizes) can be directly evaluated ",Optimization & Theoretical ML,28dd2c7955ce926456240b2ff0100bde-Paper.pdf,1987
SPEECH RECOGNITION EXPERIMENTS,"Artificial neural networks (ANNs) are capable of accurate recognition of simple speech vocabularies such as isolated digits [1]. This paper looks at two more difficult vocabularies, the alphabetic E-set and a set of polysyllabic words. The E-set is difficult because it contains weak discriminants and polysyllables are difficult because of timing variation. Polysyllabic word recognition is aided by a time pre-alignment technique based on dynamic pro gramming and E-set recognition is improved by focusing attention. Recogni tion accuracies are better than 98% for both vocabularies when implemented with a single layer perceptron. INTRODUCTION Artificial neural networks perform well on simple pattern recognition tasks. On speaker trained spoken digits a layered network performs as accu rately as a conventional nearest neighbor classifier trained on the same tokens [1]. Spoken digits are easy to recognize since they are for the most part monosyllabic and are distinguished by strong vowels. I",NLP,2a38a4a9316c49e5a833517c45d31070-Paper.pdf,1987
ON PROPERTIES OF NETWORKS,"The complexity and computational capacity of multi-layered, feedforward neural networks is examined. Neural networks for special purpose (structured) functions are examined from the perspective of circuit complexity. Known re sults in complexity theory are applied to the special instance of neural network circuits, and in particular, classes of functions that can be implemented in shallow circuits characterised. Some conclusions are also drawn about learning complexity, and some open problems raised. The dual problem of determining the computational capacity of a class of multi-layered networks with dynamics regulated by an algebraic Hamiltonian is considered. Formal results are pre sented on the storage capacities of programmed higher-order structures, and a tradeoff between ease of programming and capacity is shown. A precise de termination is made of the static fixed point structure of random higher-order constructs, and phase-transitions (0-1 laws) are shown. 1 INTRODUCTION In this",Optimization & Theoretical ML,3295c76acbf4caaed33c36b1b5fc2cb1-Paper.pdf,1987
'Ensemble' Boltzmann Units,No abstract found,Deep Learning,32bb90e8976aab5298d5da10fe66f21d-Paper.pdf,1987
ON TROPISTIC PROCESSING AND ITS APPLICATIONS,"The interaction of a set of tropisms is sufficient in many cases to explain the seemingly complex behavioral responses exhibited by varied classes of biological systems to combinations of stimuli. It can be shown that a straightforward generalization of the tropism phenomenon allows the efficient implementation of effective algorithms which appear to respond ""intelligently"" to changing environmental conditions. Examples of the utilization of tropistic processing techniques will be presented in this paper in applications entailing simulated behavior synthesis, path-planning, pattern analysis (clustering), and engineering design optimization. INTRODUCTION The goal of this paper is to present an intuitive overview of a general unsupervised procedure for addressing a variety of system control and cost minimization problems. This procedure is hased on the idea of utilizing ""stimuli"" produced by the environment in which the systems are designed to operate as basis for dynamically providing t",Optimization & Theoretical ML,33e75ff09dd601bbe69f351039152189-Paper.pdf,1987
NEUROMORPHIC NETWORKS BASED,No abstract found,Computer Vision,3416a75f4cea9109507cacd8e2f2aefc-Paper.pdf,1987
A 'Neural' Network that Learns to Play Backgammon,"We describe a class of connectionist networks that have learned to play back gammon at an intermediate-to-advanced level. TIle networks were trained by a supervised learning procedure on a large set of sample positions evaluated by a human expert. In actual match play against humans and conventional computer programs, the networks demonstrate substantial ability to generalize on the basis of expert knowledge. Our study touches on some of the most important issues in net work learning theory, including the development of efficient coding schemes and training procedures, scaling, generalization, the use of real-valued inputs and out puts, and techniques for escaping from local minima. Practical applications in games and other domains are also discussed. INTRODUCTION A potentially quite useful testing ground for studying issues of knowledge representation and learning in networks can be found in the domain of game playing. Board games such as chess, go, backgammon, and Othello entail cons",Reinforcement Learning,34173cb38f07f89ddbebc2ac9128303f-Paper.pdf,1987
LEARNING REPRESENTATIONS BY RECIRCULATION,"We describe a new learning procedure for networks that contain groups of non linear units arranged in a closed loop. The aim of the learning is to discover codes that allow the activity vectors in a ""visible"" group to be represented by activity vectors in a ""hidden"" group. One way to test whether a code is an accurate representation is to try to reconstruct the visible vector from the hidden vector. The difference between the original and the reconstructed visible vectors is called the reconstruction error, and the learning procedure aims to minimize this error. The learning procedure has two passes. On the fust pass, the original visible vector is passed around the loop, and on the second pass an average of the original vector and the reconstructed vector is passed around the loop. The learning procedure changes each weight by an amount proportional to the product of the ""presynaptic"" activity and the difference in the post-synaptic activity on the two passes. This procedure is much s",Deep Learning,35f4a8d465e6e1edc05f3d8ab658c551-Paper.pdf,1987
A COMPUTER SIMULATION OF CEREBRAL NEOCORTEX:,No abstract found,Deep Learning,37693cfc748049e45d87b8c7d8b9aacd-Paper.pdf,1987
P A' ITERN CLASS DEGENERACY IN AN UNRESTRICfED STORAGE,"The study of distributed memory systems has produced a number of models which work well in limited domains. However, until recently, the application of such systems to real world problems has been difficult because of storage limitations, and their inherent architectural (and for serial simulation, computational) complexity. Recent development of memories with unrestricted storage capacity and economical feedforward architectures has opened the way to the application of such systems to complex pattern recognition problems. However, such problems are sometimes underspecified by the features which describe the environment, and thus a significant portion of the pattern environment is often non-separable. We will review current work on high density memory systems and their network implementations. We will discuss a general learning algorithm for such high density memories and review its application to separable point sets. Finally, we will introduce an extension of this method for learning",Computer Vision,3c59dc048e8850243be8079a5c74d079-Paper.pdf,1987
Strategies for Teaching Layered Networks,"There is a widespread misconception that the delta-rule is in some sense guaranteed to work on networks without hidden units. As previous authors have mentioned, there is no such guarantee for classification tasks. We will begin by presenting explicit counter examples illustrating two different interesting ways in which the delta rule can fail. We go on to provide conditions which do guarantee that gradient descent will successfully train networks without hidden units to perform two-category classification tasks. We discuss the generalization of our ideas to networks with hidden units and to multi category classification tasks. The Classification Task Consider networks of the form indicated in figure 1. We discuss various methods for training such a network, that is for adjusting its weight vector, w. If we call the input v, the output is g(w· v), where 9 is some function. The classification task we wish to train the network to perform is the following. Given two finite sets of vectors",Optimization & Theoretical ML,3ef815416f775098fe977004015c6193-Paper.pdf,1987
Invariant Object Recognition Using a Distributed Associative Memory,"This paper describes an approach to 2-dimensional object recognition. Complex-log con formal mapping is combined with a distributed associative memory to create a system which recognizes objects regardless of changes in rotation or scale. Recalled information from the memorized database is used to classify an object, reconstruct the memorized ver sion of the object, and estimate the magnitude of changes in scale or rotation. The system response is resistant to moderate amounts of noise and occlusion. Several experiments, us ing real, gray scale images, are presented to show the feasibility of our approach. Introduction The challenge of the visual recognition problem stems from the fact that the projec tion of an object onto an image can be confounded by several dimensions of variability such as uncertain perspective, changing orientation and scale, sensor noise, occlusion, and non-uniform illumination. A vision system must not only be able to sense the identity of an object despite thi",Computer Vision,43ec517d68b6edd3015b3edc9a11367b-Paper.pdf,1987
CYCLES: A Simulation Tool for Studying,"A computer program has been designed and implemented to allow a researcher to analyze the oscillatory behavior of simulated neural networks with cyclic con nectivity. The computer program, implemented on the Texas Instruments Ex plorer / Odyssey system, and the results of numerous experiments are discussed. The program, CYCLES, allows a user to construct, operate, and inspect neural networks containing cyclic connection paths with the aid of a powerful graphics based interface. Numerous cycles have been studied, including cycles with one or more activation points, non-interruptible cycles, cycles with variable path lengths, and interacting cycles. The final class, interacting cycles, is important due to its ability to implement time-dependent goal processing in neural networks. INTRODUCTION Neural networks are capable of many types of computation. However, the majority of researchers are currently limiting their studies to various forms of mapping systems; such as content addressable m",Optimization & Theoretical ML,44f683a84163b3523afe57c2e008bc8c-Paper.pdf,1987
LEARNING ON A GENERAL NETWORK,"This paper generalizes the backpropagation method to a general network containing feed back t;onnections. The network model considered consists of interconnected groups of neurons, where each group could be fully interconnected (it could have feedback connections, with pos sibly asymmetric weights), but no loops between the groups are allowed. A stochastic descent algorithm is applied, under a certain inequality constraint on each intra-group weight matrix which ensures for the network to possess a unique equilibrium state for every input. Introduction It has been shown in the last few years that large networks of interconnected ""neuron"" -like elemp.nts are quite suitable for performing a variety of computational and pattern recognition tasks. One of the well-known neural network models is the backpropagation model [1]-[4]. It is an elegant way for teaching a layered feedforward network by a set of given input/output examples. Neural network models having feedback connections, on the o",Optimization & Theoretical ML,45c48cce2e2d7fbdea1afc51c7c6ad26-Paper.pdf,1987
William Y. Huang and Richard P. Lippmann,"procedures to construct convex decision regions with two-layer perceptrons (one hidden layer) and arbitrary decision regions with three-layer perceptrons (two hidden layers). Here we demonstrate that two-layer perceptron classifiers trained with back propagation can form both convex and disjoint decision regions. Such classifiers are robust, train rapidly, and provide good performance with simple decision regions. When complex decision regions are required, however, convergence time can be excessively long and performance is often no better than that of k-nearest neighbor classifiers. Three neural net classifiers are presented that provide more rapid training under such situations. Two use fixed weights in the first one or two layers and are similar to classifiers that estimate probability density functions using histograms. A third ""feature map classifier"" uses both unsupervised and supervised training. It provides good performance with little supervised training in situations such as",Optimization & Theoretical ML,4e732ced3463d06de0ca9a15b6153677-Paper.pdf,1987
Scaling Properties of Coarse-Coded Symbol Memories,"symbol processing models. In order to determine how these models would scale, one must first have some understanding of the mathematics of coarse-coded representa tions. We define the general structure of coarse-coded symbol memories and derive mathematical relationships among their essential parameters: memory 8ize, 8ymbol-8et size and capacity. The computed capacity of one of the schemes agrees well with actual measurements oC tbe coarse-coded working memory of DCPS, Touretzky and Hinton's distributed connectionist production system. 1 Introduction A di8tributed repre8entation is a memory scheme in which each entity (concept, symbol) is represented by a pattern of activity over many units [3]. If each unit participates in the representation of many entities, it is said to be coar8ely tuned, and the memory itself is called a coar8e-coded memory. Coarse-coded memories have been used for storing symbols in several neural network symbol processing models, such as Touretzky and Hinton's d",Optimization & Theoretical ML,54229abfcfa5649e7003b83dd4755294-Paper.pdf,1987
SYNCHRONIZATION IN NEURAL NETS,"The paper presents an artificial neural network concept (the Synchronizable Oscillator Networks) where the instants of individual firings in the form of point processes constitute the only form of information transmitted between joining neurons. This type of communication contrasts with that which is assumed in most other models which typically are continuous or discrete value-passing networks. Limiting the messages received by each processing unit to time markers that signal the firing of other units presents significant implemen tation advantages. In our model, neurons fire spontaneously and regularly in the absence of perturbation. When interaction is present, the scheduled firings are advanced or delayed by the firing of neighboring neurons. Networks of such neurons become global oscillators which exhibit multiple synchronizing attractors. From arbitrary initial states, energy minimization learning procedures can make the network converge to oscillatory modes that satisfy multi-dim",Optimization & Theoretical ML,6364d3f0f495b6ab9dcf8d3b5c6e0b01-Paper.pdf,1987
A Neural Network Classifier Based on Coding Theory,"The new neural network classifier we propose transforms the classification problem into the coding theory problem of decoding a noisy codeword. An input vector in the feature space is transformed into an internal representation which is a codeword in the code space, and then error correction decoded in this space to classify the input feature vector to its class. Two classes of codes which give high performance are the Hadamard matrix code and the maximal length sequence code. We show that the number of classes stored in an N-neuron system is linear in N and significantly more than that obtainable by using the Hopfield type memory as a classifier. I. INTRODUCTION Associative recall using neural networks has recently received a great deal of attention. Hopfield in his papers [1,2) deSCribes a mechanism which iterates through a feedback loop and stabilizes at the memory element that is nearest the input, provided that not many memory vectors are stored in the machine. He has also shown t",Deep Learning,642e92efb79421734881b53e1e1b18b6-Paper.pdf,1987
MICROELECTRONIC IMPLEMENTATIONS OF CONNECTIONIST,"In this paper we discuss why special purpose chips are needed for useful implementations of connectionist neural networks in such applications as pattern recognition and classification. Three chip designs are described: a hybrid digital/analog programmable connection matrix, an analog connection matrix with adjustable connection strengths, and a digital pipe lined best-match chip. The common feature of the designs is the distribution of arithmetic processing power amongst the data storage to minimize data movement. RAMs •••••/ ..... Distributed / '. '. co mputati on chips ... 0 / ...... Q)Q) ,c""C Conventional E~ CPUs ''iiit:::::::;:::::, •••. . .. ::::S,.... ZO • • • • . . 1 1 10 3 10 6 10 9 Node Complexity (No. of Transistors) Figure 1. A schematic graph of addressable node complexity and size for conventional computer chips. Memories can contain millions of very simple nodes each with a very few transistors but with no processing power. CPU chips are essentially one very complex node",Optimization & Theoretical ML,6512bd43d9caa6e02c990b0a82652dca-Paper.pdf,1987
Analysis of distributed representation of,"A general method, the tensor product representation, is described for the distributed representation of value/variable bindings. The method allows the fully distributed representation of symbolic structures: the roles in the structures, as well as the fillers for those roles, can be arbitrarily non-local. Fully and partially localized special cases reduce to existing cases of connectionist representations of structured data; the tensor product representation generalizes these and the few existing examples of fuUy distributed representations of structures. The representation saturates gracefully as larger structures are represented; it penn its recursive construction of complex representations from simpler ones; it respects the independence of the capacities to generate and maintain multiple bindings in parallel; it extends naturally to continuous structures and continuous representational patterns; it pennits values to also serve as variables; it enables analysis of the interference of",Deep Learning,66f041e16a60928b05a7e228a89c3799-Paper.pdf,1987
HIERARCHICAL LEARNING CONTROL -,"Advances in brain theory need two complementary approaches: Analytical investigations by in situ measurements and as well syn thetic modelling supported by computer simulations to generate suggestive hypothesis on purposeful structures in the neural tissue. In this paper research of the second line is described: Starting from a neurophysiologically inspired model of stimulus response (S-R) and/or associative memorization and a psychological ly motivated ministructure for basic control tasks, pre-conditions and conditions are studied for cooperation of such units in a hierarchical organisation, as can be assumed to be the general layout of macrostructures in the brain. I. INTRODUCTION Theoretic modelling in brain theory is a highly speculative subject. However, it is necessary since it seems very unlikely to get a clear picture of this very complicated device by just analy zing the available measurements on sound and/or damaged brain parts only. As in general physics, one has to realize",Optimization & Theoretical ML,67c6a1e7ce56d3d6fa748ab6d9af3fd7-Paper.pdf,1987
PRESYNApnC NEURAL INFORMAnON PROCESSING,"The potential for presynaptic information processing within the arbor of a single axon will be discussed in this paper. Current knowledge about the activity dependence of the firing threshold, the conditions required for conduction failure, and the similarity of nodes along a single axon will be reviewed. An electronic circuit model for a site of low conduction safety in an axon will be presented. In response to single frequency stimulation the electronic circuit acts as a lowpass filter. I. INTRODUCTION The axon is often modeled as a wire which imposes a fixed delay on a propagating signal. Using this model, neural information processing is performed by synaptically sum m ing weighted contributions of the outputs from other neurons. However, substantial information processing may be performed in by the axon itself. Numerous researchers have observed periodic conruction failures at norma! physiological impulse activity rates (e.g., in cat, in frog2, and in man ). The oscillatory nature",Neuroscience,68d30a9594728bc39aa24be94b319d21-Paper.pdf,1987
AN OPTIMIZATION NETWORK FOR MATRIX INVERSION,"Inverse matrix calculation can be considered as an optimization. We have demonstrated that this problem can be rapidly solved by highly interconnected simple neuron-like analog processors. A network for matrix inversion based on the concept of Hopfield's neural network was designed, and implemented with electronic hardware. With slight modifications, the network is readily applicable to solving a linear simultaneous equation efficiently. Notable features of this circuit are potential speed due to parallel processing, and robustness against variations of device parameters. INTRODUCTION Highly interconnected simple analog processors which mmnc a biological neural network are known to excel at certain collective computational tasks. For example, Hopfield and Tank designed a network to solve the traveling salesman problem which is of the np -complete class,l and also designed an AID converter of novel architecture2 based on the Hopfield's neural network model?' 4 The net work could provide",Optimization & Theoretical ML,6c8349cc7260ae62e3b1396831a8398f-Paper.pdf,1987
BASINS OF ATTRACTION FOR,"We have studied the basins of attraction for fixed point and oscillatory attractors in an electronic analog neural network. Basin measurement circuitry periodically opens the network feedback loop, loads raster-scanned initial conditions and examines the resulting attractor. Plotting the basins for fixed points (memories), we show that overloading an associative memory network leads to irregular basin shapes. The network also includes analog time delay circuitry, and we have shown that delay in symmetric networks can introduce basins for oscillatory attractors. Conditions leading to oscillation are related to the presence of frustration; reducing frustration by diluting the connections can stabilize a delay network. (1) - INTRODUCTION The dynamical system formed from an interconnected network of nonlinear neuron-like elements can perform useful parallel computationl - 5 . Recent progress in controlling the dynamics has focussed on algorithms for encoding the location of fixed pOints1,4",Optimization & Theoretical ML,6ea9ab1baa0efb9e19094440c317e21b-Paper.pdf,1987
PROGRAMMABLE SYNAPTIC CHIP FOR,"A binary synaptic matrix chip has been developed for electronic neural networks. The matrix chip contains a programmable 32X32 array of ""long channel"" NMOSFET binary connection elements imple mented in a 3-um bulk CMOS process. Since the neurons are kept off chip, the synaptic chip serves as a ""cascadable"" building block for a multi-chip synaptic network as large as 512X512 in size. As an alternative to the programmable NMOSFET (long channel) connection elements, tailored thin film resistors are deposited, in series with FET switches, on some CMOS test chips, to obtain the weak synaptic connections. Although deposition and patterning of the resistors require additional processing steps, they promise substantial savings in silcon area. The performance of a synaptic chip in a 32- neuron breadboard system in an associative memory test application is discussed. INTRODUCTION The highly parallel and distributive architecture of neural networks offers potential advantages in fault-tolerant an",Optimization & Theoretical ML,6f4922f45568161a8cdf4ad2299f6d23-Paper.pdf,1987
LEARNING A COLOR ALGORITHM FROM EXAMPLES,"A lightness algorithm that separates surface reflectance from illumination in a Mondrian world is synthesized automatically from a set of examples, pairs of input (image irradiance) and desired output (surface reflectance). The algorithm, which re sembles a new lightness algorithm recently proposed by Land, is approximately equiva lent to filtering the image through a center-surround receptive field in individual chro matic channels. The synthesizing technique, optimal linear estimation, requires only one assumption, that the operator that transforms input into output is linear. This assumption is true for a certain class of early vision algorithms that may therefore be synthesized in a similar way from examples. Other methods of synthesizing algorithms from examples, or ""learning"", such as backpropagation, do not yield a significantly dif ferent or better lightness algorithm in the Mondrian world. The linear estimation and backpropagation techniques both produce simultaneous brightnes",Computer Vision,70efdf2ec9b086079795c442636b55fb-Paper.pdf,1987
GENERALIZATION OF BACKPROPAGATION,"A general method for deriving backpropagation algorithms for networks with recurrent and higher order networks is introduced. The propagation of activation in these networks is determined by dissipative differential equations. The error signal is backpropagated by integrating an associated differential equation. The method is introduced by applying it to the recurrent generalization of the feedforward backpropagation network. The method is extended to the case of higher order networks and to a constrained dynamical system for training a content addressable memory. The essential feature of the adaptive algorithms is that adaptive equation has a simple outer product form. Preliminary experiments suggest that learning can occur very rapidly in networks with recurrent connections. The continuous formalism makes the new approach more suitable for implementation in VLSI. Introduction One interesting class of neural networks, typified by the Hopfield neural networks (1,2) or the networks stud",Optimization & Theoretical ML,735b90b4568125ed6c3f678819b6e058-Paper.pdf,1987
Neural Network Implementation Approaches,No abstract found,Optimization & Theoretical ML,7647966b7343c29048673252e490f736-Paper.pdf,1987
On the Power of Neural Networks for,"This paper deals with a neural network model in which each neuron performs a threshold logic function. An important property of the model is that it always converges to a stable state when operating in a serial mode [2,5]. This property is the basis of the potential applications of the model such as associative memory devices and combinatorial optimization [3,6]. One of the motivations for use of the model for solving hard combinatorial problems is the fact that it can be implemented by optical devices and thus operate at a higher speed than conventional electronics. The main theme in this work is to investigate the power of the model for solving NP-hard problems [4,8], and to understand the relation between speed of operation and the size of a neural network. In particular, it will be shown that for any NP-hard problem the existence of a polynomial size network that solves it implies that NP=co-NP. Also, for Traveling Salesman Problem (TSP), even a polynomial size network that gets an",Optimization & Theoretical ML,7cbbc409ec990f19c78c75bd1e06f215-Paper.pdf,1987
